,City,Clouds,Humidity,Lat,Lng,Max Temp,Wind
482,Puntarenas,20,73,9.98,-84.84,75.2,5.82
483,Tessalit,20,39,20.2,1.01,84.72,11.32
484,Kamenka,92,97,53.19,44.05,59.16,10.54
485,Paciran,0,50,-6.9,112.33,88.14,5.28
486,Jacareacanga,48,100,-6.22,-57.76,71.53,4.72
487,Haines Junction,36,63,60.75,-137.51,52.59,7.96
488,Acapulco,40,74,16.86,-99.88,84.2,5.82
489,Libreville,90,73,0.39,9.45,77.0,8.05
490,Husavik,12,72,50.56,-96.99,60.87,5.5
491,Sinnamary,36,95,5.38,-52.96,81.66,11.65
492,Maldonado,0,87,-34.91,-54.96,44.6,4.7
493,Enshi,44,73,30.29,109.48,80.67,2.71
494,Blahodatne,8,53,47.7,37.42,58.53,5.61
495,Mayumba,88,97,-3.44,10.65,69.33,6.62
496,Padang,12,100,-0.92,100.36,82.92,2.15
497,Kaabong,80,93,3.51,34.14,60.15,1.14
498,Longhua,40,83,29.21,106.21,80.6,6.71
499,Kankon,76,100,15.02,74.02,78.42,15.23
500,Matara,48,89,-13.74,-72.9,37.56,1.92
501,Mnogovershinnyy,92,87,53.94,139.92,64.2,3.27
502,Palmer,0,23,-34.85,139.16,62.6,14.99
503,Sabang,24,73,13.72,123.58,87.96,17.69
504,Collierville,75,83,35.04,-89.66,78.8,4.7
505,Talas,0,58,38.69,35.55,59.0,2.24
506,Mount Gambier,12,88,-37.83,140.78,54.12,4.5
507,Port Blair,68,100,11.67,92.75,81.25,13.44
508,Kungurtug,8,67,50.6,97.53,63.3,3.38
509,Sibolga,64,83,1.74,98.78,77.25,2.37
510,Katobu,48,74,-4.94,122.53,85.98,5.17
511,Xinyu,8,65,27.8,114.93,91.38,6.85
512,Machala,20,83,-3.26,-79.96,69.8,5.82
513,Waihi Beach,88,98,-37.4,175.93,51.15,9.08
514,Nioro,32,85,13.79,-15.05,76.17,9.86
515,Guerrero,20,66,-24.19,-65.45,46.4,4.7
516,Ocean City,40,74,30.44,-86.61,84.2,9.17
517,San Juan,0,76,-31.54,-68.53,37.2,5.39
518,Ottawa,92,98,45.42,-75.69,66.63,7.18
519,Rio Gallegos,0,81,-51.62,-69.22,42.8,4.7
520,Catuday,92,100,16.29,119.81,77.97,15.01
521,Luwuk,48,91,-0.95,122.79,79.23,5.95
522,Salinas,75,64,36.67,-121.66,68.0,11.41
523,Abnub,0,48,27.27,31.15,82.4,9.17
524,Foumban,92,100,5.73,10.9,62.58,2.26
525,Mikkeli,0,76,61.69,27.27,48.2,5.82
526,Marsh Harbour,64,100,26.54,-77.06,83.46,9.08
527,Maymyo,90,94,22.03,96.47,78.8,10.29
528,Mpanda,80,60,-6.34,31.07,64.92,3.27
529,Carora,8,64,10.17,-70.08,76.98,14.67
530,Palana,76,65,59.08,159.95,54.48,5.73
